,Sno,Candidate,Constituency,Party,Criminal_Case,Education,Assets,Apprx_Assets,Total_Liabilities,Apprx_Liabilities
328,328,Khagen Murmu,MALDAHA UTTAR,BJP, 4 ,Graduate,10232439, 1 Crore+,1070914, 10 Lacs+ 
329,329,Anumula Revanth Reddy,MALKAJGIRI,INC, 42 ,Graduate,245357182, 24 Crore+,27807304, 2 Crore+ 
330,330,Ram Swaroop Sharma,MANDI,BJP,0,10th Pass,0,,783963, 7 Lacs+ 
331,331,Faggan Singh Kulaste,MANDLA,BJP,0,Post Graduate,26702373, 2 Crore+,1000075, 10 Lacs+ 
332,332,Sudheer Gupta,MANDSOUR,BJP, 1 ,Post Graduate,90908944, 9 Crore+,799283, 7 Lacs+ 
333,333,Sumalatha Ambareesh,MANDYA,IND,0,10th Pass,234154139, 23 Crore+,14232295, 1 Crore+ 
334,334,Shri Dilip Saikia,MANGALDOI,BJP,0,Graduate,6206286, 62 Lacs+,0,  
335,335,Hema Malini Dharmendra Deol,MATHURA,BJP,0,Doctorate,2508270292, 250 Crore+,131288062, 13 Crore+ 
336,336,Choudhury Mohan Jatua,MATHURAPUR,AITC,0,Post Graduate,10667304, 1 Crore+,0,  
337,337,Shrirang Chandu Barne,MAVAL,SHS, 3 ,8th Pass,1023310134, 102 Crore+,416612, 4 Lacs+ 
338,338,Kodikunnil Suresh,MAVELIKKARA,INC, 1 ,Graduate Professional,12965129, 1 Crore+,982819, 9 Lacs+ 
339,339,Ramalingam S,MAYILADUTHURAI,DMK,0,Graduate,13355095, 1 Crore+,215000, 2 Lacs+ 
340,340,Bishweswar Tudu,MAYURBHANJ,BJP, 1 ,10th Pass,0,,400000, 4 Lacs+ 
341,341,Kotha Prabhakar Reddy,MEDAK,TRS,0,Graduate,1266581773, 126 Crore+,268266203, 26 Crore+ 
342,342,Dilip Kumar Ghosh,MEDINIPUR,BJP, 14 ,10th Pass,4536462, 45 Lacs+,0,  
343,343,Rajendra Agarwal,MEERUT,BJP, 3 ,Post Graduate,13489377, 1 Crore+,1990094, 19 Lacs+ 
344,344,Anupriya Singh Patel,MIRZAPUR,Apna Dal (Soneylal), 2 ,Post Graduate,26900662, 2 Crore+,1805603, 18 Lacs+ 
345,345,Ashok Kumar,MISRIKH,BJP,0,Post Graduate,48771207, 4 Crore+,5735470, 57 Lacs+ 
346,346,C Lalrosanga,MIZORAM,MNF,0,Graduate,131201374, 13 Crore+,0,  
347,347,Kaushal Kishore,MOHANLALGANJ,BJP, 1 ,Graduate,55530561, 5 Crore+,0,  
348,348,Dr. S T Hasan,MORADABAD,SP,0,Post Graduate,55795546, 5 Crore+,500000, 5 Lacs+ 
349,349,Narendra Singh Tomar,MORENA,BJP, 1 ,Graduate,23062224, 2 Crore+,6689767, 66 Lacs+ 
