,Sno,Candidate,Constituency,Party,Criminal_Case,Education,Assets,Apprx_Assets,Total_Liabilities,Apprx_Liabilities
1,1,Bapu Rao Soyam,ADILABAD,BJP, 52 ,12th Pass,3099414, 30 Lacs+,231450, 2 Lacs+ 
2,2,Satyapal Singh Baghel,AGRA,BJP, 5 ,Doctorate,74274036, 7 Crore+,8606522, 86 Lacs+ 
3,3,Patel Hasmukhbhai Somabhai,AHMEDABAD EAST,BJP,0,Others,74699690, 7 Crore+,6252577, 62 Lacs+ 
4,4,Dr. Solanki Kiritbhai,AHMEDABAD WEST,BJP,0,Post Graduate,89474039, 8 Crore+,0,  
5,5,Sujay Radhakrishna Vikhe,AHMEDNAGAR,BJP,0,Doctorate,168664576, 16 Crore+,2623964, 26 Lacs+ 
6,6,Bhagirath Chaudhary,AJMER,BJP,0,12th Pass,85101774, 8 Crore+,8319942, 83 Lacs+ 
7,7,Sanjay Shamrao Dhotre,AKOLA,BJP, 1 ,Graduate Professional,77153230, 7 Crore+,14985774, 1 Crore+ 
8,8,A M Ariff,ALAPPUZHA,CPI(M), 2 ,Graduate Professional,15268906, 1 Crore+,2220700, 22 Lacs+ 
9,9,Ramya Haridas,ALATHUR,INC, 3 ,10th Pass,1152816, 11 Lacs+,0,  
10,10,Satish Kumar Gautam,ALIGARH,BJP,0,10th Pass,0,,28095176, 2 Crore+ 
11,11,John Barla,ALIPURDUARS,BJP, 9 ,8th Pass,1418730, 14 Lacs+,0,  
12,12,Rita Bahuguna Joshi,ALLAHABAD,BJP, 6 ,Doctorate,26919330, 2 Crore+,1600000, 16 Lacs+ 
13,13,Ajay Tamta,ALMORA,BJP,0,12th Pass,9910448, 99 Lacs+,55845, 55 Thou+ 
14,14,Mahant Balak Nath,ALWAR,BJP,0,10th Pass,352929, 3 Lacs+,0,  
15,15,Chinta Anuradha,AMALAPURAM,YSRCP,0,Graduate,85993362, 8 Crore+,2431407, 24 Lacs+ 
16,16,Ritesh Pandey,AMBEDKAR NAGAR,BSP, 1 ,Graduate,307265103, 30 Crore+,24739098, 2 Crore+ 
17,17,Smriti Irani,AMETHI,BJP,0,12th Pass,111099609, 11 Crore+,0,  
18,18,Navneet Ravi Rana,AMRAVATI,IND, 1 ,10th Pass,124554656, 12 Crore+,70576979, 7 Crore+ 
19,19,Kachhadiya Naranbhai Bhikhabhai,AMRELI,BJP,0,12th Pass,35900763, 3 Crore+,828961, 8 Lacs+ 
20,20,Gurjeet Singh Aujla,AMRITSAR,INC,0,12th Pass,0,,9031565, 90 Lacs+ 
21,21,Kunwar Danish Ali,AMROHA,BSP,0,Graduate,74920879, 7 Crore+,19579691, 1 Crore+ 
22,22,Dr.Beesetti Venkata Satyavathi,ANAKAPALLE,YSRCP,0,Graduate Professional,91526244, 9 Crore+,11139279, 1 Crore+ 
23,23,Miteshbhai Patel,ANAND,BJP, 2 ,Others,77043053, 7 Crore+,7810840, 78 Lacs+ 
24,24,Manish Tewari,ANANDPUR SAHIB,INC,0,Graduate Professional,154637860, 15 Crore+,0,  
25,25,Talari Rangaiah,ANANTAPUR,YSRCP, 1 ,Doctorate,11773091, 1 Crore+,1135547, 11 Lacs+ 
26,26,Hasnain Masoodi,ANANTNAG,Jammu & Kashmir National Conference,0,Post Graduate,87620672, 8 Crore+,0,  
27,27,Kuldeep Rai Sharma,ANDAMAN AND NICOBAR ISLANDS,INC,0,Graduate Professional,132233012, 13 Crore+,80450870, 8 Crore+ 
28,28,Dharmendra Kumar,AONLA,BJP,0,10th Pass,21766502, 2 Crore+,3324300, 33 Lacs+ 
29,29,S. Jagathrakshakan,ARAKKONAM,DMK, 2 ,10th Pass,1146984897, 114 Crore+,166365972, 16 Crore+ 
30,30,Goddeti Madhavi,ARAKU,YSRCP,0,Graduate Professional,0,,0,  
31,31,Aparupa Poddar (Afrin Ali),ARAMBAG,AITC, 1 ,Post Graduate,12527597, 1 Crore+,4244000, 42 Lacs+ 
32,32,Vishnuprasad. M.K,ARANI,INC, 1 ,Graduate Professional,234564815, 23 Crore+,33409505, 3 Crore+ 
33,33,Pradeep Kumar Singh,ARARIA,BJP, 3 ,10th Pass,5010577, 50 Lacs+,1159200, 11 Lacs+ 
34,34,R. K. Singh,ARRAH,BJP, 1 ,Graduate Professional,79971720, 7 Crore+,0,  
35,35,Tapir Gao,ARUNACHAL EAST,BJP,0,Post Graduate,136628259, 13 Crore+,0,  
36,36,Kiren Rijiju,ARUNACHAL WEST,BJP,0,Graduate Professional,15279000, 1 Crore+,0,  
37,37,Pramila Bisoyi,ASKA,BJD,0,5th Pass,732470, 7 Lacs+,0,  
38,38,Adoor Prakash,ATTINGAL,INC, 7 ,Graduate Professional,144098612, 14 Crore+,27622685, 2 Crore+ 
39,39,Imtiaz Jaleel Syed,AURANGABAD,AIMIM, 4 ,Post Graduate,29562768, 2 Crore+,6800000, 68 Lacs+ 
40,40,Sushil Kumar Singh,AURANGABAD,BJP, 3 ,Post Graduate,0,,3746607, 37 Lacs+ 
41,41,Horen Sing Bey,AUTONOMOUS DISTRICT,BJP, 2 ,Graduate,20693570, 2 Crore+,5956209, 59 Lacs+ 
42,42,Akhilesh Yadav,AZAMGARH,SP,0,Graduate Professional,377859166, 37 Crore+,2853000, 28 Lacs+ 
43,43,Sangh Mitra Maurya,BADAUN,BJP, 2 ,Graduate Professional,40372093, 4 Crore+,0,  
44,44,Gaddigoudar Parvatagouda Chandanagouda,BAGALKOT,BJP,0,Graduate Professional,43980663, 4 Crore+,7987991, 79 Lacs+ 
45,45,Dr. Satyapal Singh,BAGHPAT,BJP, 1 ,Post Graduate,78195793, 7 Crore+,0,  
46,46,Adhir Ranjan Chowdhury,BAHARAMPUR,INC, 7 ,10th Pass,101315437, 10 Crore+,8506984, 85 Lacs+ 
47,47,Akshayabar Lal,BAHRAICH,BJP,0,10th Pass,45691463, 4 Crore+,3028133, 30 Lacs+ 
48,48,Dr. Dhal Singh Bisen,BALAGHAT,BJP,0,Others,88648133, 8 Crore+,1530693, 15 Lacs+ 
49,49,Pratap Chandra Sarangi,BALASORE,BJP, 7 ,Graduate,1346236, 13 Lacs+,160, 1 Hund+ 
50,50,Virendra Singh,BALLIA,BJP, 2 ,Graduate,0,,0,  
51,51,Sukanta Majumdar,BALURGHAT,BJP,0,Doctorate,5825866, 58 Lacs+,2168170, 21 Lacs+ 
52,52,Parbatbhai Patel,BANASKANTHA,BJP,0,Graduate Professional,41819177, 4 Crore+,4500000, 45 Lacs+ 
53,53,R.K. Singh Patel,BANDA,BJP, 2 ,Graduate,55794086, 5 Crore+,0,  
54,54,P. C. Mohan,BANGALORE CENTRAL,BJP,0,12th Pass,755529306, 75 Crore+,312521957, 31 Crore+ 
55,55,D.V. Sadananda Gowda,BANGALORE NORTH,BJP,0,Graduate Professional,209384539, 20 Crore+,104302653, 10 Crore+ 
56,56,D.K. Suresh,BANGALORE RURAL,INC, 5 ,12th Pass,3388920717, 338 Crore+,519320305, 51 Crore+ 
57,57,Tejasvi Surya,BANGALORE SOUTH,BJP,0,Graduate Professional,1346593, 13 Lacs+,0,  
58,58,Shantanu Thakur,BANGAON,BJP, 8 ,Graduate,5265388, 52 Lacs+,0,  
59,59,Giridhari Yadav,BANKA,JD(U), 1 ,Post Graduate,19816050, 1 Crore+,405701, 4 Lacs+ 
60,60,Subhas Kumar Sarkar,BANKURA,BJP, 1 ,Graduate Professional,0,,3261495, 32 Lacs+ 
61,61,Kamlesh Paswan,BANSGAON,BJP, 5 ,Graduate,171706883, 17 Crore+,6049264, 60 Lacs+ 
62,62,Kanakmal Katara,BANSWARA,BJP,0,Graduate Professional,58711904, 5 Crore+,1746729, 17 Lacs+ 
63,63,Suresh Babu Nandigam,BAPATLA,YSRCP,0,8th Pass,4158610, 41 Lacs+,269000, 2 Lacs+ 
64,64,Upendra Singh Rawat,BARABANKI,BJP, 1 ,Post Graduate,18050127, 1 Crore+,3171774, 31 Lacs+ 
65,65,Supriya Sadanand Sule,BARAMATI,NCP,0,Graduate,1408888704, 140 Crore+,5500000, 55 Lacs+ 
66,66,Mohammad Akbar Lone,BARAMULLA,Jammu & Kashmir National Conference,0,Graduate Professional,597434000, 59 Crore+,104935, 1 Lacs+ 
67,67,Dr. Kakoli Ghoshdastidar,BARASAT,AITC, 2 ,Post Graduate,40531018, 4 Crore+,1496059, 14 Lacs+ 
68,68,Surendrajeet Singh Ahluwalia,BARDHAMAN DURGAPUR,BJP,0,Graduate Professional,26521750, 2 Crore+,744076, 7 Lacs+ 
69,69,Sunil Kumar Mondal,BARDHAMAN PURBA,AITC,0,Graduate Professional,20371283, 2 Crore+,148598, 1 Lacs+ 
70,70,Parbhubhai Nagarbhai Vasava	,BARDOLI,BJP,0,Others,0,,3676869, 36 Lacs+ 
71,71,Santosh Kumar Gangwar,BAREILLY,BJP,0,Graduate Professional,126356142, 12 Crore+,13055209, 1 Crore+ 
72,72,Suresh Pujari,BARGARH,BJP,0,Post Graduate,11673429, 1 Crore+,0,  
73,73,Kailash Choudhary,BARMER,BJP, 2 ,Graduate,2402250, 24 Lacs+,0,  
74,74,Abdul Khaleque,BARPETA,INC,0,Post Graduate,7398753, 73 Lacs+,2703693, 27 Lacs+ 
75,75,Arjun Singh,BARRACKPUR,BJP, 24 ,10th Pass,8055691, 80 Lacs+,1100000, 11 Lacs+ 
76,76,Nusrat Jahan Ruhi,BASIRHAT,AITC,0,12th Pass,29088391, 2 Crore+,16881608, 1 Crore+ 
77,77,Deepak Kumar Baij,BASTAR,INC, 1 ,Post Graduate,7721293, 77 Lacs+,1801236, 18 Lacs+ 
78,78,Harish Chandra Alias Harish Dwivedi,BASTI,BJP, 5 ,Post Graduate,8662344, 86 Lacs+,322490, 3 Lacs+ 
79,79,Harsimrat Kaur Badal,BATHINDA,SAD,0,10th Pass,2179919870, 217 Crore+,954852600, 95 Crore+ 
80,80,Pritam Gopinathrao Munde,BEED,BJP, 1 ,Post Graduate,0,,98833794, 9 Crore+ 
81,81,Giriraj Singh,BEGUSARAI,BJP, 6 ,Graduate,83024577, 8 Crore+,12236000, 1 Crore+ 
82,82,Angadi Suresh,BELGAUM,BJP,0,Graduate Professional,366164525, 36 Crore+,198479638, 19 Crore+ 
83,83,Y. Devendrappa,BELLARY,BJP,0,5th Pass,40107878, 4 Crore+,250000, 2 Lacs+ 
84,84,Chandra Sekhar Sahu,BERHAMPUR,BJD,0,10th Pass,11716989, 1 Crore+,0,  
85,85,Durga Das (D.D.) Uikey,BETUL,BJP,0,Post Graduate,15413532, 1 Crore+,875803, 8 Lacs+ 
86,86,Ramesh Chand,BHADOHI,BJP, 6 ,10th Pass,94089148, 9 Crore+,21696413, 2 Crore+ 
87,87,Manjulata Mandal,BHADRAK,BJD,0,Graduate,39417891, 3 Crore+,8958149, 89 Lacs+ 
88,88,Ajay Kumar Mandal,BHAGALPUR,JD(U),0,8th Pass,6801126, 68 Lacs+,5364747, 53 Lacs+ 
89,89,Sunil Baburao Mendhe,BHANDARA GONDIYA,BJP, 2 ,Others,627543615, 62 Crore+,19861338, 1 Crore+ 
90,90,Ranjeeta Kumari,BHARATPUR,BJP,0,8th Pass,0,,0,  
91,91,Mansukhbhai Vasava,BHARUCH,BJP,0,Post Graduate,6835957, 68 Lacs+,0,  
92,92,Dr.Bharatiben Dhirubhai Shiyal,BHAVNAGAR,BJP,0,Graduate Professional,17753161, 1 Crore+,3689036, 36 Lacs+ 
93,93,Subhash Chandra Baheria,BHILWARA,BJP,0,Graduate,232703276, 23 Crore+,1827380, 18 Lacs+ 
94,94,Sandhya Ray,BHIND,BJP,0,Post Graduate,51108660, 5 Crore+,13400000, 1 Crore+ 
95,95,Kapil Moreshwar Patil,BHIWANDI,BJP,0,Graduate,418850781, 41 Crore+,5645459, 56 Lacs+ 
96,96,Dharambir Singh,BHIWANI MAHENDRAGARH,BJP,0,Graduate,60642205, 6 Crore+,240000, 2 Lacs+ 
97,97,Komatireddy Venakat Reddy,BHONGIR,INC, 14 ,12th Pass,162543845, 16 Crore+,24069129, 2 Crore+ 
98,98,Sadhvi Pragya Singh Thakur,BHOPAL,BJP, 1 ,Post Graduate,444224, 4 Lacs+,0,  
99,99,Aparajita Sarangi,BHUBANESWAR,BJP,0,Graduate,31677600, 3 Crore+,4329959, 43 Lacs+ 
100,100,Bhagwanth Khuba,BIDAR,BJP, 1 ,Graduate Professional,0,,10239000, 1 Crore+ 
101,101,Jigajinagi Ramesh Chandappa,BIJAPUR,BJP,0,Graduate,504122985, 50 Crore+,1600000, 16 Lacs+ 
102,102,Malook Nagar,BIJNOR,BSP, 7 ,Graduate,2499628021, 249 Crore+,1016148176, 101 Crore+ 
103,103,Arjun Ram Meghwal,BIKANER,BJP,0,Post Graduate,23524459, 2 Crore+,1060314, 10 Lacs+ 
104,104,Arun Sao,BILASPUR,BJP,0,Graduate Professional,13544588, 1 Crore+,50000, 50 Thou+ 
105,105,Satabdi Roy (Banerjee),BIRBHUM,AITC,0,Graduate,48652722, 4 Crore+,18604443, 1 Crore+ 
106,106,Saumitra Khan,BISHNUPUR,BJP, 6 ,12th Pass,8656777, 86 Lacs+,1077120, 10 Lacs+ 
107,107,Smt. Sangeeta Kumari Singh Deo,BOLANGIR,BJP,0,Graduate,379590851, 37 Crore+,7500000, 75 Lacs+ 
108,108,Asit Kumar Mal,BOLPUR,AITC,0,10th Pass,1310691, 13 Lacs+,0,  
109,109,Bhola Singh,BULANDSHAHR,BJP, 1 ,Graduate,18728861, 1 Crore+,0,  
110,110,Prataprao Ganpatrao Jadhav,BULDHANA,SHS, 3 ,12th Pass,0,,735482, 7 Lacs+ 
111,111,Ashwini Kumar Choubey,BUXAR,BJP, 3 ,Graduate,40183612, 4 Crore+,1350667, 13 Lacs+ 
112,112,Benny Behanan,CHALAKUDY,INC, 4 ,Graduate,20461931, 2 Crore+,915938, 9 Lacs+ 
113,113,V Srinivas Prasad,CHAMARAJANAGAR,BJP,0,Post Graduate,143804441, 14 Crore+,324909, 3 Lacs+ 
114,114,Dr. Mahendra Nath Pandey,CHANDAULI,BJP,0,Doctorate,33359734, 3 Crore+,0,  
115,115,Kirron Kher,CHANDIGARH,BJP,0,Post Graduate,474983574, 47 Crore+,6279188, 62 Lacs+ 
116,116,Harsh Vardhan,CHANDNI CHOWK,BJP,0,Post Graduate,30171897, 3 Crore+,0,  
117,117,Sunil Kumar Singh,CHATRA,BJP,0,Post Graduate,226209137, 22 Crore+,1889051, 18 Lacs+ 
118,118,Dayanidhi Maran,CHENNAI CENTRAL,DMK, 1 ,Graduate,116790616, 11 Crore+,0,  
119,119,Dr. Kalanidhi Veeraswamy,CHENNAI NORTH,DMK,0,Post Graduate,405294714, 40 Crore+,258386550, 25 Crore+ 
120,120,Sumathy Alias Thamizhachi Thangapandian,CHENNAI SOUTH,DMK,0,Doctorate,0,,500000, 5 Lacs+ 
121,121,Dr.Gaddam Ranjith Reddy,CHEVELLA,TRS,0,Post Graduate,1634695131, 163 Crore+,197007553, 19 Crore+ 
122,122,Nakul Nath,CHHINDWARA,INC,0,Graduate,6601946757, 660 Crore+,8791712, 87 Lacs+ 
123,123,Rathva Gitaben Vajesingbhai,CHHOTA UDAIPUR,BJP,0,12th Pass,8634660, 86 Lacs+,0,  
124,124,Thirumaavalavan Thol,CHIDAMBARAM,Viduthalai Chiruthaigal Katchi, 3 ,Doctorate,9244092, 92 Lacs+,394248, 3 Lacs+ 
125,125,B.N.Bache Gowda,CHIKKBALLAPUR,BJP,0,Graduate Professional,1153501141, 115 Crore+,0,  
126,126,Annasaheb Shankar Jolle,CHIKKODI,BJP,0,12th Pass,344922831, 34 Crore+,195595693, 19 Crore+ 
127,127,A Narayanaswamy,CHITRADURGA,BJP,0,Graduate,96197642, 9 Crore+,0,  
128,128,N. Reddeppa,CHITTOOR,YSRCP,0,Post Graduate,17355862, 1 Crore+,1341542, 13 Lacs+ 
129,129,Chandra Prakash,CHITTORGARH,BJP,0,Graduate,19725115, 1 Crore+,100000, 1 Lacs+ 
130,130,Rahul Kaswan,CHURU,BJP,0,Graduate,0,,15163379, 1 Crore+ 
131,131,P R Natarajan,COIMBATORE,CPI(M), 1 ,12th Pass,20284430, 2 Crore+,3234168, 32 Lacs+ 
132,132,Sri Nisith Pramanik,COOCH BEHAR,BJP, 11 ,8th Pass,9629810, 96 Lacs+,0,  
133,133,T. R. V .S. Ramesh,CUDDALORE,DMK,0,Graduate Professional,423378552, 42 Crore+,102828604, 10 Crore+ 
134,134,Bhartruhari Mahtab,CUTTACK,BJD,0,Post Graduate,106894976, 10 Crore+,0,  
135,135,Delkar Mohanbhai Sanjibhai,DADRA AND NAGAR HAVELI,IND,0,Graduate,708885980, 70 Crore+,37268162, 3 Crore+ 
136,136,Jasvantsinh Sumanbhai Bhabhor,DAHOD,BJP,0,Graduate Professional,27070480, 2 Crore+,0,  
137,137,Nalin Kumar Kateel,DAKSHINA KANNADA,BJP, 4 ,10th Pass,14678300, 1 Crore+,4450945, 44 Lacs+ 
138,138,Patel Lalubhai Babubhai,DAMAN AND DIU,BJP,0,8th Pass,213993750, 21 Crore+,9969514, 99 Lacs+ 
139,139,Prahalad Singh Patel,DAMOH,BJP,0,Graduate Professional,43292483, 4 Crore+,4230614, 42 Lacs+ 
140,140,Gopaljee Thakur,DARBHANGA,BJP,0,Post Graduate,0,,1039660, 10 Lacs+ 
141,141,Raju Bista,DARJEELING,BJP,0,Graduate,151106062, 15 Crore+,27428941, 2 Crore+ 
142,142,Jaskaur Meena,DAUSA,BJP,0,Post Graduate,143742564, 14 Crore+,5825431, 58 Lacs+ 
143,143,G M Siddeshwar,DAVANAGERE,BJP,0,10th Pass,380164932, 38 Crore+,14670809, 1 Crore+ 
144,144,Ramapati Ram Tripathi,DEORIA,BJP, 1 ,Graduate Professional,29451678, 2 Crore+,9310684, 93 Lacs+ 
145,145,Mahendra Singh Solanky,DEWAS,BJP,0,Graduate Professional,3812464, 38 Lacs+,1832631, 18 Lacs+ 
146,146,Pashupati Nath Singh,DHANBAD,BJP,0,Graduate,27286918, 2 Crore+,0,  
147,147,Chhatar Singh Darbar,DHAR,BJP, 1 ,Post Graduate,23198238, 2 Crore+,2471613, 24 Lacs+ 
148,148,Dnv Senthilkumar.S,DHARMAPURI,DMK, 1 ,Post Graduate,48477451, 4 Crore+,6053502, 60 Lacs+ 
149,149,Pralhad Joshi,DHARWAD,BJP, 1 ,Graduate,111384447, 11 Crore+,51736254, 5 Crore+ 
150,150,Rekha Verma,DHAURAHRA,BJP, 3 ,12th Pass,0,,7095916, 70 Lacs+ 
151,151,Mahesh Sahoo,DHENKANAL,BJD, 1 ,12th Pass,14529286, 1 Crore+,0,  
152,152,Badruddin Ajmal,DHUBRI,AIUDF, 7 ,Post Graduate,788064044, 78 Crore+,10159381, 1 Crore+ 
153,153,Subhash Ramrao Bhamre,DHULE,BJP, 2 ,Post Graduate,158651112, 15 Crore+,1000000, 10 Lacs+ 
154,154,Abhishek Banerjee,DIAMOND HARBOUR,AITC,0,Graduate,13794320, 1 Crore+,0,  
155,155,Rameswar Teli,DIBRUGARH,BJP,0,10th Pass,4370067, 43 Lacs+,0,  
156,156,Velusamy P,DINDIGUL,DMK,0,Illiterate,148076407, 14 Crore+,31474526, 3 Crore+ 
157,157,Bharti Pawar,DINDORI,BJP,0,Graduate Professional,122885349, 12 Crore+,1449572, 14 Lacs+ 
158,158,Jagdambika Pal,DOMARIYAGANJ,BJP, 3 ,Post Graduate,103366710, 10 Crore+,2838478, 28 Lacs+ 
159,159,Sougata Ray,DUM DUM,AITC, 1 ,Post Graduate,42518790, 4 Crore+,0,  
160,160,Sunil Soren,DUMKA,BJP,0,12th Pass,0,,685516, 6 Lacs+ 
161,161,Vijay Baghel,DURG,BJP,0,Graduate,34429027, 3 Crore+,8748686, 87 Lacs+ 
162,162,Gautam Gambhir,EAST DELHI,BJP, 1 ,12th Pass,1471587789, 147 Crore+,342035860, 34 Crore+ 
163,163,Sridhar Kotagiri	,ELURU,YSRCP,0,Graduate,462808829, 46 Crore+,33560974, 3 Crore+ 
164,164,Hibi Eden,ERNAKULAM,INC, 7 ,Graduate,7908467, 79 Lacs+,200000, 2 Lacs+ 
165,165,Ganeshamurthi A,ERODE,DMK,0,Graduate,43110000, 4 Crore+,2060000, 20 Lacs+ 
166,166,Rajveer Singh,ETAH,BJP,0,Graduate Professional,383629735, 38 Crore+,100220000, 10 Crore+ 
167,167,Dr Ram Shankar Katheria,ETAWAH,BJP, 12 ,Doctorate,15154538, 1 Crore+,7304616, 73 Lacs+ 
168,168,Lallu Singh,FAIZABAD,BJP, 1 ,Post Graduate,31884642, 3 Crore+,11276478, 1 Crore+ 
169,169,Krishan Pal,FARIDABAD,BJP,0,Graduate Professional,369652786, 36 Crore+,105593242, 10 Crore+ 
170,170,Mohammad Sadique,FARIDKOT,INC,0,5th Pass,0,,311043, 3 Lacs+ 
171,171,Mukesh Rajput,FARRUKHABAD,BJP,0,Graduate,74964501, 7 Crore+,388246, 3 Lacs+ 
172,172,Amar Singh,FATEHGARH SAHIB,INC,0,Post Graduate,32808836, 3 Crore+,0,  
173,173,Sadhvi Niranjan Jyoti,FATEHPUR,BJP,0,12th Pass,10667372, 1 Crore+,910148, 9 Lacs+ 
174,174,Rajkumar Chahar,FATEHPUR SIKRI,BJP, 3 ,Graduate,14854247, 1 Crore+,356404, 3 Lacs+ 
175,175,Dr. Chandra Sen Jadon,FIROZABAD,BJP,0,Graduate Professional,42872395, 4 Crore+,0,  
176,176,Sukhbir Singh Badal,FIROZPUR,SAD, 4 ,Post Graduate,2179919870, 217 Crore+,954852600, 95 Crore+ 
177,177,Ashok Mahadevrao Nete,GADCHIROLI CHIMUR,BJP,0,12th Pass,50136369, 5 Crore+,15682840, 1 Crore+ 
178,178,Amit Shah,GANDHINAGAR,BJP, 4 ,12th Pass,403275307, 40 Crore+,4769587, 47 Lacs+ 
179,179,Nihal Chand,GANGANAGAR,BJP,0,Graduate,21014362, 2 Crore+,3631287, 36 Lacs+ 
180,180,Tirath Singh Rawat,GARHWAL,BJP,0,Post Graduate,0,,3500000, 35 Lacs+ 
181,181,Queen Oja,GAUHATI,BJP,0,Graduate,630219570, 63 Crore+,34034178, 3 Crore+ 
182,182,Dr. Mahesh Sharma,GAUTAM BUDDHA NAGAR,BJP,0,Graduate Professional,478759568, 47 Crore+,43863749, 4 Crore+ 
183,183,Vijay Kumar,GAYA,JD(U), 3 ,12th Pass,12766141, 1 Crore+,3148932, 31 Lacs+ 
184,184,Deepak Adhikari,GHATAL,AITC,0,Others,317320579, 31 Crore+,7879681, 78 Lacs+ 
185,185,Vijay Kumar Singh,GHAZIABAD,BJP, 2 ,Doctorate,56545702, 5 Crore+,0,  
186,186,Atul Kumar Singh,GHOSI,BSP, 13 ,Graduate,66536025, 6 Crore+,3454591, 34 Lacs+ 
187,187,Chandra Prakash Choudhary,GIRIDIH,AJSU Party, 2 ,Graduate,13456889, 1 Crore+,1330000, 13 Lacs+ 
188,188,Nishikant Dubey,GODDA,BJP, 4 ,Doctorate,462757500, 46 Crore+,0,  
189,189,Kirti Vardhan Singh Alias Raja Bhaiya,GONDA,BJP,0,Post Graduate,232735285, 23 Crore+,23201603, 2 Crore+ 
190,190,Dr. Alok Kumar Suman,GOPALGANJ,JD(U),0,Post Graduate,0,,3576376, 35 Lacs+ 
191,191,Ravindra Shyamnarayan Shukla Alias Ravi Kishan,GORAKHPUR,BJP,0,12th Pass,208494688, 20 Crore+,17711043, 1 Crore+ 
192,192,Dr. Umesh G Jadhav,GULBARGA,BJP,0,Post Graduate,37490597, 3 Crore+,0,  
193,193,Krishna Pal Singh,GUNA,BJP,0,Graduate Professional,16266408, 1 Crore+,494053, 4 Lacs+ 
194,194,Jayadev Galla,GUNTUR,TDP,0,Graduate,3051485242, 305 Crore+,203452417, 20 Crore+ 
195,195,Ajay Singh Dharmendra Deol (Sunny Deol),GURDASPUR,BJP,0,Others,871925679, 87 Crore+,534644785, 53 Crore+ 
196,196,Rao Inderjit Singh,GURGAON,BJP,0,Graduate Professional,420970754, 42 Crore+,31500000, 3 Crore+ 
197,197,Vivek Narayan Shejwalkar,GWALIOR,BJP,0,Graduate Professional,58911673, 5 Crore+,0,  
198,198,Pashupati Kumar Paras,HAJIPUR,LJP, 1 ,Graduate Professional,62834200, 6 Crore+,6744375, 67 Lacs+ 
199,199,Kunwar Pushpendra Singh,HAMIRPUR,BJP, 4 ,Post Graduate,167159924, 16 Crore+,35502582, 3 Crore+ 
200,200,Anurag Singh Thakur,HAMIRPUR,BJP, 3 ,Graduate,0,,1085145, 10 Lacs+ 
201,201,Jai Prakash,HARDOI,BJP,0,Graduate,234032624, 23 Crore+,2615368, 26 Lacs+ 
202,202,Ramesh Pokhriyal Nishank,HARIDWAR,BJP,0,Doctorate,28739888, 2 Crore+,16444, 16 Thou+ 
203,203,Prajwal R,HASSAN,JD(S),0,Graduate Professional,97848632, 9 Crore+,37253210, 3 Crore+ 
204,204,Rajvir Diler,HATHRAS,BJP,0,12th Pass,14930000, 1 Crore+,0,  
205,205,Dhairyashil Sambhajirao Mane,HATKANANGLE,SHS,0,Graduate,47771462, 4 Crore+,41599959, 4 Crore+ 
206,206,Udasi. S.C.,HAVERI,BJP,0,12th Pass,718499195, 71 Crore+,165566495, 16 Crore+ 
207,207,Jayant Sinha,HAZARIBAGH,BJP,0,Post Graduate,770749002, 77 Crore+,193271437, 19 Crore+ 
208,208,Kuruva Gorantla Madhav,HINDUPUR,YSRCP, 2 ,Graduate,1787356, 17 Lacs+,730332, 7 Lacs+ 
209,209,Patil Hemant Shriram,HINGOLI,SHS,0,Graduate,18594458, 1 Crore+,1299983, 12 Lacs+ 
210,210,Brijendra Singh,HISAR,BJP,0,Post Graduate,0,,27225637, 2 Crore+ 
211,211,Locket Chatterjee,HOOGHLY,BJP, 14 ,Graduate,35655698, 3 Crore+,0,  
212,212,Rao Uday Pratap Singh,HOSHANGABAD,BJP, 1 ,Graduate,154783105, 15 Crore+,9103300, 91 Lacs+ 
213,213,Som Parkash,HOSHIARPUR,BJP,0,Post Graduate,29404519, 2 Crore+,0,  
214,214,Prasun Banerjee,HOWRAH,AITC, 1 ,Graduate,13216066, 1 Crore+,0,  
215,215,Asaduddin Owaisi,HYDERABAD,AIMIM, 5 ,Graduate Professional,179044376, 17 Crore+,120500000, 12 Crore+ 
216,216,Dean Kuriakose,IDUKKI,INC, 204 ,Post Graduate,13395011, 1 Crore+,10000000, 1 Crore+ 
217,217,Shankar Lalwani,INDORE,BJP, 2 ,Graduate Professional,59038508, 5 Crore+,2106382, 21 Lacs+ 
218,218,Dr Rajkumar Ranjan Singh,INNER MANIPUR,BJP,0,Doctorate,19616174, 1 Crore+,0,  
219,219,Rakesh Singh,JABALPUR,BJP, 1 ,Graduate,43134351, 4 Crore+,1387000, 13 Lacs+ 
220,220,Mimi Chakraborty,JADAVPUR,AITC,0,Graduate,0,,1900788, 19 Lacs+ 
221,221,Rajashree Mallick,JAGATSINGHPUR,BJD,0,Graduate Professional,40023972, 4 Crore+,1433305, 14 Lacs+ 
222,222,Chandeshwar Prasad,JAHANABAD,JD(U), 3 ,10th Pass,139271693, 13 Crore+,0,  
223,223,Ram Charan Bohra,JAIPUR,BJP,0,12th Pass,165322707, 16 Crore+,22000000, 2 Crore+ 
224,224,Col. Rajyavardhan Rathore,JAIPUR RURAL,BJP,0,Graduate,127808070, 12 Crore+,0,  
225,225,Sarmistha Sethi,JAJPUR,BJD,0,Post Graduate,15837082, 1 Crore+,0,  
226,226,Santokh Singh Chaudhary,JALANDHAR,INC,0,Graduate Professional,99925185, 9 Crore+,2534363, 25 Lacs+ 
